event,year,era,deaths,homes,unit_type,unit_index
Black Saturday VIC,2009,Post-2000,180,2100,deaths,174
Black Saturday VIC,2009,Post-2000,180,2100,deaths,175
Black Saturday VIC,2009,Post-2000,180,2100,deaths,176
Black Saturday VIC,2009,Post-2000,180,2100,deaths,177
Black Saturday VIC,2009,Post-2000,180,2100,deaths,178
Black Saturday VIC,2009,Post-2000,180,2100,deaths,179
Black Saturday VIC,2009,Post-2000,180,2100,deaths,180
Canberra Fires ACT,2003,Post-2000,4,500,homes,1
Canberra Fires ACT,2003,Post-2000,4,500,homes,2
Canberra Fires ACT,2003,Post-2000,4,500,homes,3
Canberra Fires ACT,2003,Post-2000,4,500,homes,4
Canberra Fires ACT,2003,Post-2000,4,500,homes,5
Canberra Fires ACT,2003,Post-2000,4,500,deaths,1
Canberra Fires ACT,2003,Post-2000,4,500,deaths,2
Canberra Fires ACT,2003,Post-2000,4,500,deaths,3
Canberra Fires ACT,2003,Post-2000,4,500,deaths,4
Waroona Yarloop WA,2016,Post-2000,2,160,homes,1
Waroona Yarloop WA,2016,Post-2000,2,160,homes,2
Waroona Yarloop WA,2016,Post-2000,2,160,deaths,1
Waroona Yarloop WA,2016,Post-2000,2,160,deaths,2
Wye River VIC,2015,Post-2000,0,116,homes,1
Wye River VIC,2015,Post-2000,0,116,homes,2
Tathra NSW,2018,Post-2000,0,65,homes,1
Sir Ivan NSW,2017,Post-2000,0,35,homes,1
East Vic Fires,2019,Post-2000,0,31,homes,1
Blue Mountains NSW,2013,Post-2000,2,200,homes,1
Blue Mountains NSW,2013,Post-2000,2,200,homes,2
Blue Mountains NSW,2013,Post-2000,2,200,deaths,1
Blue Mountains NSW,2013,Post-2000,2,200,deaths,2
Pinery SA,2015,Post-2000,2,83,homes,1
Pinery SA,2015,Post-2000,2,83,deaths,1
Pinery SA,2015,Post-2000,2,83,deaths,2
Eyre Peninsula SA,2005,Post-2000,9,93,homes,1
Eyre Peninsula SA,2005,Post-2000,9,93,deaths,1
Eyre Peninsula SA,2005,Post-2000,9,93,deaths,2
Eyre Peninsula SA,2005,Post-2000,9,93,deaths,3
Eyre Peninsula SA,2005,Post-2000,9,93,deaths,4
Eyre Peninsula SA,2005,Post-2000,9,93,deaths,5
Eyre Peninsula SA,2005,Post-2000,9,93,deaths,6
Eyre Peninsula SA,2005,Post-2000,9,93,deaths,7
Eyre Peninsula SA,2005,Post-2000,9,93,deaths,8
Eyre Peninsula SA,2005,Post-2000,9,93,deaths,9
Christmas 2001 VIC,2001,Post-2000,3,41,homes,1
Christmas 2001 VIC,2001,Post-2000,3,41,deaths,1
Christmas 2001 VIC,2001,Post-2000,3,41,deaths,2
Christmas 2001 VIC,2001,Post-2000,3,41,deaths,3
Carwoola NSW,2017,Post-2000,0,11,homes,1
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,homes,1
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,homes,2
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,homes,3
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,homes,4
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,homes,5
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,homes,6
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,homes,7
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,homes,8
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,homes,9
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,homes,10
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,homes,11
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,homes,12
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,homes,13
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,homes,14
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,homes,15
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,homes,16
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,homes,17
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,homes,18
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,homes,19
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,homes,20
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,homes,21
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,homes,22
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,homes,23
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,homes,24
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,homes,25
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,1
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,2
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,3
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,4
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,5
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,6
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,7
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,8
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,9
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,10
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,11
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,12
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,13
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,14
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,15
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,16
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,17
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,18
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,19
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,20
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,21
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,22
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,23
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,24
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,25
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,26
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,27
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,28
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,29
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,30
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,31
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,32
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,33
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,34
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,35
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,36
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,37
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,38
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,39
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,40
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,41
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,42
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,43
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,44
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,45
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,46
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,47
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,48
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,49
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,50
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,51
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,52
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,53
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,54
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,55
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,56
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,57
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,58
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,59
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,60
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,61
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,62
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,63
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,64
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,65
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,66
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,67
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,68
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,69
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,70
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,71
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,72
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,73
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,74
Ash Wednesday VIC/SA,1983,Pre-2000,75,2500,deaths,75
Black Friday VIC,1939,Pre-2000,71,3700,homes,1
Black Friday VIC,1939,Pre-2000,71,3700,homes,2
Black Friday VIC,1939,Pre-2000,71,3700,homes,3
Black Friday VIC,1939,Pre-2000,71,3700,homes,4
Black Friday VIC,1939,Pre-2000,71,3700,homes,5
Black Friday VIC,1939,Pre-2000,71,3700,homes,6
Black Friday VIC,1939,Pre-2000,71,3700,homes,7
Black Friday VIC,1939,Pre-2000,71,3700,homes,8
Black Friday VIC,1939,Pre-2000,71,3700,homes,9
Black Friday VIC,1939,Pre-2000,71,3700,homes,10
Black Friday VIC,1939,Pre-2000,71,3700,homes,11
Black Friday VIC,1939,Pre-2000,71,3700,homes,12
Black Friday VIC,1939,Pre-2000,71,3700,homes,13
Black Friday VIC,1939,Pre-2000,71,3700,homes,14
Black Friday VIC,1939,Pre-2000,71,3700,homes,15
Black Friday VIC,1939,Pre-2000,71,3700,homes,16
Black Friday VIC,1939,Pre-2000,71,3700,homes,17
Black Friday VIC,1939,Pre-2000,71,3700,homes,18
Black Friday VIC,1939,Pre-2000,71,3700,homes,19
Black Friday VIC,1939,Pre-2000,71,3700,homes,20
Black Friday VIC,1939,Pre-2000,71,3700,homes,21
Black Friday VIC,1939,Pre-2000,71,3700,homes,22
